productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
630817,Misty's Lapras,Lapras,https://tcgplayer-cdn.tcgplayer.com/product/630817_200w.jpg,3,24269,https://cpt.tcgcsv.com/ml37,2026-03-27T20:02:37.603,1,,0.05,0.33,19.98,0.33,0.34,Reverse Holofoil,,050/182,Common,Water,110,Basic,"[W] Swim Together<br> Search your deck for up to 3 Misty's Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.",Lx2,1,[WC] Surf (60),
630817,Misty's Lapras,Lapras,https://tcgplayer-cdn.tcgplayer.com/product/630817_200w.jpg,3,24269,https://cpt.tcgcsv.com/ml37,2026-03-27T20:02:37.603,1,,0.01,0.21,19.98,0.21,0.01,Normal,,050/182,Common,Water,110,Basic,"[W] Swim Together<br> Search your deck for up to 3 Misty's Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.",Lx2,1,[WC] Surf (60),
630818,Team Rocket's Zapdos,Zapdos,https://tcgplayer-cdn.tcgplayer.com/product/630818_200w.jpg,3,24269,https://cpt.tcgcsv.com/nl37,2026-03-11T13:23:26.867,1,,0.05,0.34,19.98,0.32,0.35,Reverse Holofoil,,070/182,Rare,Lightning,120,Basic,[CC] Jamming Wing (30)<br> You may move an Energy from your opponent's Active Pokémon to 1 of their Benched Pokémon.,Lx2,1,"[LCC] Wicked Thunder (60+)<br> If this Pokémon has any 182 attached, this attack does 60 more damage.",F-30
630818,Team Rocket's Zapdos,Zapdos,https://tcgplayer-cdn.tcgplayer.com/product/630818_200w.jpg,3,24269,https://cpt.tcgcsv.com/nl37,2026-03-11T13:23:26.867,1,,0.01,0.21,24.0,0.19,0.09,Holofoil,,070/182,Rare,Lightning,120,Basic,[CC] Jamming Wing (30)<br> You may move an Energy from your opponent's Active Pokémon to 1 of their Benched Pokémon.,Lx2,1,"[LCC] Wicked Thunder (60+)<br> If this Pokémon has any 182 attached, this attack does 60 more damage.",F-30
630819,Ethan's Pichu,Pichu,https://tcgplayer-cdn.tcgplayer.com/product/630819_200w.jpg,3,24269,https://cpt.tcgcsv.com/pl37,2026-03-26T11:51:59.377,1,,0.01,0.27,19.98,0.28,0.1,Reverse Holofoil,,071/182,Common,Lightning,30,Basic,[0] Zapping Draw (30)<br> Draw a card.,Fx2,,,
630819,Ethan's Pichu,Pichu,https://tcgplayer-cdn.tcgplayer.com/product/630819_200w.jpg,3,24269,https://cpt.tcgcsv.com/pl37,2026-03-26T11:51:59.377,1,,0.01,0.16,19.98,0.14,0.01,Normal,,071/182,Common,Lightning,30,Basic,[0] Zapping Draw (30)<br> Draw a card.,Fx2,,,
630820,Team Rocket's Mareep,Mareep,https://tcgplayer-cdn.tcgplayer.com/product/630820_200w.jpg,3,24269,https://cpt.tcgcsv.com/ql37,2026-02-16T12:55:48.093,1,,0.01,0.13,69.5,0.12,0.01,Normal,,072/182,Common,Lightning,60,Basic,"[C] Procurement<br> Search your deck for an Item card, reveal it, and put it into your hand. Then, shuffle your deck.",Fx2,1,[L] Tiny Bolt (10),
630820,Team Rocket's Mareep,Mareep,https://tcgplayer-cdn.tcgplayer.com/product/630820_200w.jpg,3,24269,https://cpt.tcgcsv.com/ql37,2026-02-16T12:55:48.093,1,,0.01,0.2,19.98,0.18,0.05,Reverse Holofoil,,072/182,Common,Lightning,60,Basic,"[C] Procurement<br> Search your deck for an Item card, reveal it, and put it into your hand. Then, shuffle your deck.",Fx2,1,[L] Tiny Bolt (10),
630821,Team Rocket's Mimikyu,Mimikyu,https://tcgplayer-cdn.tcgplayer.com/product/630821_200w.jpg,3,24269,https://cpt.tcgcsv.com/rl37,2026-02-17T15:12:08.453,1,,0.01,0.24,19.98,0.23,0.09,Normal,,087/182,Uncommon,Psychic,60,Basic,[PC] Gemstone Mimicry<br> Choose 1 of your opponent's Active Tera Pokémon's attacks and use it as this attack.,Dx2,0,,F-30
630821,Team Rocket's Mimikyu,Mimikyu,https://tcgplayer-cdn.tcgplayer.com/product/630821_200w.jpg,3,24269,https://cpt.tcgcsv.com/rl37,2026-02-17T15:12:08.453,1,,0.1,0.57,20.0,0.52,0.55,Reverse Holofoil,,087/182,Uncommon,Psychic,60,Basic,[PC] Gemstone Mimicry<br> Choose 1 of your opponent's Active Tera Pokémon's attacks and use it as this attack.,Dx2,0,,F-30
